make,model,year,risk_level,analytics_exact_rows,analytics_model_rows,open_ev_exact_rows,source_count,sources,missing_reference_specs,reasons
Audi,Q4 Sportback e-tron 55 quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 e-tron 40,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 e-tron 45,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 e-tron 45 quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 e-tron 55 quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,Q6 e-tron,2025,high,0,0,3,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,Q6 e-tron Sportback,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron Sportback performance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron Sportback quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron performance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q6 e-tron quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q8 e-tron,2023,high,0,0,6,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,Q8 e-tron,2024,high,0,0,6,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,Q8 e-tron,2025,high,0,0,6,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,S6 Avant e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,S6 Sportback e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,SQ6 e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,SQ6 e-tron Sportback,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,e-tron GT,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,e-tron GT,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,e-tron GT,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,e-tron GT RS,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,e-tron GT RS performance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,e-tron GT S,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,e-tron GT quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Automobili Pininfarina,Battista,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Automobili Pininfarina,Battista,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Automobili Pininfarina,Battista,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BMW,i4 M50,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i4 eDrive35,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i4 eDrive40,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i4 xDrive40,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,i5,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,i5 M60 xDrive Sedan (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5 M60 xDrive Touring (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5 eDrive40 Sedan (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5 eDrive40 Touring (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5 xDrive40 Sedan (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i5 xDrive40 Touring (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i7,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,i7,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,i7,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,i7 M70 xDrive,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i7 eDrive50,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,i7 xDrive60,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX M70 xDrive,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX xDrive45,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX xDrive60,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX1,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX1,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX1,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX1 eDrive20,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX1 xDrive30,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX2,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX2,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX2 eDrive20,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX2 xDrive30,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BMW,iX3,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BMW,iX3,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BYD,ATTO 2,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,ATTO 3 (MY25),,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,DOLPHIN 44.9 kWh Active,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,DOLPHIN 44.9 kWh Boost,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm; not supported by analytics base or Open EV merge path
BYD,DOLPHIN 60.4 kWh,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,DOLPHIN SURF 30 kWh Active,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,DOLPHIN SURF 43.2 kWh Boost,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,DOLPHIN SURF 43.2 kWh Comfort,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,Dolphin,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BYD,Dolphin,2024,high,0,0,3,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BYD,Dolphin,2025,high,0,0,3,1,open-ev-data-v1.24.0.csv,torque_nm,no analytics training rows for this make/model; only one dataset source; missing planner reference field: torque_nm
BYD,Dolphin Mini,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
BYD,Dolphin Mini,2024,high,0,0,3,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
BYD,Dolphin Mini,2025,high,0,0,3,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
BYD,Han,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Han,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Han,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,King,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,King,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, maxChargingPower_kW",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
BYD,SEAL 61.4 kWh RWD Comfort,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEAL 82.5 kWh AWD Excellence,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEAL 82.5 kWh RWD Design,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEAL U 71.8 kWh Comfort,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEAL U 87 kWh Design,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEALION 7 82.5 kWh AWD Design,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEALION 7 82.5 kWh RWD Comfort,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,SEALION 7 91.3 kWh AWD Excellence,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,Seal,2023,high,0,0,3,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Seal,2024,high,0,0,3,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Seal,2025,high,0,0,3,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Song Plus,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Song Plus,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Song Plus,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,TANG Flagship,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
BYD,Tang,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Tang,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Tang,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Yuan Plus,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Yuan Plus,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Yuan Plus,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
BYD,Yuan Up,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
BYD,Yuan Up,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
CUPRA,Born 170 kW - 59 kWh,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
CUPRA,Born 170 kW - 77 kWh,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
CUPRA,Born VZ,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
CUPRA,Tavascan Endurance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
CUPRA,Tavascan VZ,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Cadillac,Celestiq,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Celestiq,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Escalade IQ,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Lyriq,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Lyriq,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Lyriq,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Lyriq 600 E4,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Cadillac,Optiq,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Cadillac,Vistiq,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Changan,Deepal L07,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal S7,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal S7,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal S7,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal SL03,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal SL03,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Deepal SL03,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Lumin,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Changan,Lumin,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Changan,Lumin,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Changan,Nevo A06,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Changan,Nevo A07,2023,high,0,0,2,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Nevo A07,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Nevo A07,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Changan,Nevo Q05,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh, torque_nm",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Exeed Sterra ES,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Fulwin A9L,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Fulwin T11,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Jaecoo J7,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Omoda 7,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Omoda 7,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Omoda E5,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,Omoda E5,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
Chery,QQ Domi,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,efficiency_wh_per_km,no analytics training rows for this make/model; only one dataset source; missing planner reference field: efficiency_wh_per_km
Chery,Tansuo 06,2023,high,0,0,1,1,open-ev-data-v1.24.0.csv,top_speed_kmh,no analytics training rows for this make/model; only one dataset source; missing planner reference field: top_speed_kmh
Chery,Tansuo 06,2024,high,0,0,1,1,open-ev-data-v1.24.0.csv,top_speed_kmh,no analytics training rows for this make/model; only one dataset source; missing planner reference field: top_speed_kmh
Chery,Tansuo 06,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,top_speed_kmh,no analytics training rows for this make/model; only one dataset source; missing planner reference field: top_speed_kmh
Chery,Tiggo 7 Pro PHEV,2025,high,0,0,1,1,open-ev-data-v1.24.0.csv,"efficiency_wh_per_km, top_speed_kmh",no analytics training rows for this make/model; only one dataset source; multiple planner reference specs would fall back to defaults
